,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
154063,0.473,3.569,-1.484,4.84,0.4331,-0.29,0.0,0.6,13.36,10.52,9.151,8.424,8.014,6.749,6.146,5.933,8.923,5.8839999999999995,5.815,5868793.0,4290
154112,0.4629,3.568,-1.508,4.846,0.4253,-0.29,0.0,0.7,13.44,10.6,9.222999999999999,8.488,8.074,6.805,6.205,5.992000000000001,8.988999999999999,5.938,5.867999999999999,5868793.0,4290
154113,0.473,3.57,-1.479,4.837,0.4347,-0.29,0.0,0.7,13.33,10.5,9.131,8.408999999999999,8.003,6.7379999999999995,6.1370000000000005,5.9239999999999995,8.904,5.874,5.806,5868793.0,4290
154162,0.4629,3.569,-1.5019999999999998,4.843,0.4269,-0.29,0.0,0.8,13.41,10.58,9.202,8.472000000000001,8.062000000000001,6.794,6.196000000000001,5.982,8.969,5.928,5.859,5868793.0,4290
154263,0.4528,3.57,-1.514,4.841,0.4233,-0.29,0.0,1.0,13.45,10.6,9.224,8.502,8.097000000000001,6.83,6.233,6.02,8.993,5.962000000000001,5.897,5868793.0,4290
154315,0.4528,3.57,-1.514,4.84,0.4235,-0.29,0.0,1.1,13.44,10.6,9.222000000000001,8.5,8.096,6.827999999999999,6.231,6.018,8.991,5.96,5.895,5868793.0,4290
154368,0.4528,3.57,-1.5130000000000001,4.84,0.4238,-0.29,0.0,1.2,13.44,10.6,9.221,8.499,8.094,6.827000000000001,6.229,6.017,8.99,5.959,5.894,5868793.0,4290
154420,0.4528,3.57,-1.5130000000000001,4.8389999999999995,0.4242,-0.29,0.0,1.3,13.44,10.6,9.22,8.498,8.093,6.825,6.228,6.015,8.99,5.957000000000001,5.892,5868793.0,4290
154472,0.4528,3.57,-1.5119999999999998,4.838,0.4244,-0.29,0.0,1.4,13.44,10.6,9.219,8.496,8.092,6.824,6.227,6.013999999999999,8.988,5.956,5.891,5868793.0,4290
154525,0.4528,3.57,-1.5119999999999998,4.838,0.4248,-0.29,0.0,1.5,13.44,10.6,9.219,8.496,8.091000000000001,6.8229999999999995,6.226,6.013,8.988,5.954,5.888999999999999,5868793.0,4290
154578,0.4528,3.57,-1.511,4.837,0.425,-0.29,0.0,1.6,13.44,10.6,9.217,8.494,8.089,6.822,6.224,6.011,8.986,5.952999999999999,5.888,5868793.0,4290
154631,0.4528,3.57,-1.511,4.837,0.4253,-0.29,0.0,1.7,13.44,10.59,9.216000000000001,8.493,8.088,6.82,6.223,6.01,8.985,5.952000000000001,5.8870000000000005,5868793.0,4290
154683,0.4528,3.57,-1.51,4.836,0.4255,-0.29,0.0,1.8,13.44,10.59,9.215,8.492,8.087,6.819,6.222,6.0089999999999995,8.984,5.95,5.886,5868793.0,4290
154736,0.4528,3.57,-1.51,4.836,0.4257,-0.29,0.0,1.9,13.44,10.59,9.214,8.491,8.086,6.818,6.22,6.007999999999999,8.982999999999999,5.949,5.8839999999999995,5868793.0,4290
154789,0.4528,3.57,-1.5090000000000001,4.835,0.426,-0.29,0.0,2.0,13.44,10.59,9.213,8.49,8.085,6.817,6.218999999999999,6.006,8.982000000000001,5.9479999999999995,5.882999999999999,5868793.0,4290
154842,0.4528,3.57,-1.5090000000000001,4.835,0.4262,-0.29,0.0,2.1,13.43,10.59,9.212,8.488999999999999,8.084,6.816,6.218,6.005,8.98,5.947,5.882000000000001,5868793.0,4290
154895,0.4528,3.57,-1.508,4.834,0.4265,-0.29,0.0,2.2,13.43,10.59,9.211,8.487,8.083,6.814,6.2170000000000005,6.004,8.979,5.946000000000001,5.881,5868793.0,4290
154947,0.4528,3.57,-1.508,4.834,0.4267,-0.29,0.0,2.3,13.43,10.59,9.21,8.487,8.082,6.813,6.216,6.002999999999999,8.979,5.945,5.88,5868793.0,4290
155000,0.4528,3.57,-1.507,4.833,0.4269,-0.29,0.0,2.4,13.43,10.59,9.208,8.485,8.08,6.812,6.215,6.002000000000001,8.977,5.944,5.879,5868793.0,4290
155053,0.4528,3.57,-1.507,4.833,0.4271,-0.29,0.0,2.5,13.43,10.59,9.208,8.484,8.079,6.811,6.2139999999999995,6.001,8.976,5.943,5.877999999999999,5868793.0,4290
155106,0.4528,3.57,-1.507,4.833,0.4273,-0.29,0.0,2.6,13.43,10.59,9.207,8.482999999999999,8.078,6.81,6.212999999999999,6.0,8.975,5.942,5.877000000000001,5868793.0,4290
155159,0.4528,3.57,-1.506,4.832,0.4275,-0.29,0.0,2.7,13.43,10.58,9.206,8.482000000000001,8.077,6.809,6.211,5.999,8.974,5.94,5.876,5868793.0,4290
155211,0.4528,3.57,-1.506,4.832,0.4277,-0.29,0.0,2.8,13.43,10.58,9.204,8.481,8.076,6.808,6.21,5.997999999999999,8.972999999999999,5.939,5.875,5868793.0,4290
